Ano;Nro SIAM (Fiscalizadores);Tipo;CNPJ/CPF;Fornecedor;Nome Fantasia;Data Inicial;Data final;Valor Contratado;Valor Empenhado;Valor Processado;Valor Pago;Objeto Contrato;Modalidade e Nro Processo Licitatório;Nro Processo Adm
Fornecimento de Material e Serviços;;Datacity Servicos Ltda;;23/06/2021;22/06/2022;1479545.04;0.0;0.0;0.0;FORNECIMENTO E INSTALACAO DE LUMINARIAS PUBLICAS.;;CRIADA NA CONVERSAO;0;
Fornecimento de Serviços;;Datacity Servicos Ltda;;25/08/2021;24/08/2026;1164000.0;6310282.3;5190954.79;5190954.79;SERVICO DE APOIO TECNICO TECNOLOGICO MAN UTENCAO PREVENTIVA E CORRETIVA DA REDE;;7102;0;
Fornecimento de Material e Serviços;;Datacity Servicos Ltda;;04/11/2020;03/08/2021;1964132.0;0.0;0.0;0.0;FORNECIMENTO E INSTALACAO DE LUMINARIAS PUBLICAS.;;CRIADA NA CONVERSAO;0;
Fornecimento de Serviços;02.679.522/0001-97;Datacity Servicos Ltda;;31/08/2022;30/08/2026;3540000.0;15243191.03;11733940.52;11733940.52;SERVICO DE MONITORAMENTO E FISCALIZACAO DE TRAFEGO DE VEICULOS (RADAR);;7609;0;
