Código da Emenda;Ano da Emenda;Nome do Autor da Emenda;Número da emenda;Valor Empenhado;Valor Pago;Tipo de Emenda;Data Documento;Município de aplicação do recurso;Código IBGE do município de aplicação do recurso;Fase da despesa;Favorecido;Órgão Superior;Grupo Despesa;Elemento Despesa;Função;SubFunção;Ação;Possui convênio?
202450410004;2024;COM. DA SAUDE;0004;6171000.0;0.0;Emenda de Comissão;28/05/2024;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Saúde;Atenção básica;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;NÃO
202450410002;2024;COM. DA SAUDE;0002;1773933.0;0.0;Emenda de Comissão;18/06/2024;FERRAZ DE VASCONCELOS;3515707;Empenho;FUNDO MUNICIPAL DE SAUDE;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Saúde;Assistência hospitalar e ambulatorial;INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS;NÃO
202350330004;2023;COM. INTEG NAC DES REGIONAL E DA AMAZONIA - CINDRA;0004;0.0;0.0;Emenda de Comissão;02/08/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério da Integração e do Desenvolvimento Regional;Múltiplo;Múltiplo;Múltiplo;Múltiplo;Múltiplo;NÃO
202081001433;2020;RELATOR GERAL;1433;0.0;0.0;Emenda de Relator;02/08/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério da Educação;Múltiplo;Múltiplo;Múltiplo;Múltiplo;Múltiplo;NÃO
202181000791;2021;RELATOR GERAL;0791;0.0;0.0;Emenda de Relator;02/08/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério da Educação;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202425200002;2024;CARLOS ZARATTINI;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;22/05/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202425200002;2024;CARLOS ZARATTINI;0002;0.0;319793.0;Emenda Individual - Transferências com Finalidade Definida;23/05/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202439050008;2024;ALENCAR SANTANA;0008;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;17/05/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202439050008;2024;ALENCAR SANTANA;0008;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;17/06/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202439050008;2024;ALENCAR SANTANA;0008;0.0;1000000.0;Emenda Individual - Transferências com Finalidade Definida;20/05/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
