Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;740555010,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;22136848,76;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;22136848,76;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;7088406,43;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;6462041,09;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;626365,34;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;143294430,62;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;88381911,98;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;43069540,29;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;482171,11;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;3238588,54;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;8122218,7;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;27038039,24;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;27012142,46;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;25896,78;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;18663385,8;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;11155051,94;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;7507093,76;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;1240,1;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;139664538,99;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;62905579,81;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;10830681,39;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;8141188,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;1119649,35;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;56653674,06;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;13765,66;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;236872662,92;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;178581386,66;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;25037253,51;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;12.368 - Educação Básica;siconfi-cor_TotalDespesas;4756,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;19258880,06;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU12 - Demais Subfunções;siconfi-cor_TotalDespesas;13990386,69;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;11539438,94;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;13.391 - Patrimônio Histórico, Artístico e Arqueológico;siconfi-cor_TotalDespesas;231810,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;8165260,87;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;13.122 - Administração Geral;siconfi-cor_TotalDespesas;3142368,07;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;99531388,67;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;23848867,89;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;61274319,03;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;15.122 - Administração Geral;siconfi-cor_TotalDespesas;14408201,75;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;16 - Habitação;siconfi-cor_TotalDespesas;28594,39;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU16 - Demais Subfunções;siconfi-cor_TotalDespesas;28594,39;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;299397,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU20 - Demais Subfunções;siconfi-cor_TotalDespesas;299397,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;23 - Comércio e Serviços;siconfi-cor_TotalDespesas;1950248,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;23.122 - Administração Geral;siconfi-cor_TotalDespesas;1950248,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;26 - Transporte;siconfi-cor_TotalDespesas;22609585,08;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;26.122 - Administração Geral;siconfi-cor_TotalDespesas;21926382,58;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;FU26 - Demais Subfunções;siconfi-cor_TotalDespesas;683202,5;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;9838044,42;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;27.812 - Desporto Comunitário;siconfi-cor_TotalDespesas;1542524,21;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;27.813 - Lazer;siconfi-cor_TotalDespesas;5384089,13;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;27.122 - Administração Geral;siconfi-cor_TotalDespesas;2911431,08;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;705982854,46;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;01 - Legislativa;siconfi-cor_TotalDespesas;21482776,09;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;21482776,09;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;7012193,36;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;6385828,02;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;626365,34;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;04 - Administração;siconfi-cor_TotalDespesas;135868787,55;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;82173366,59;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;42767858,76;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;482171,11;2025
