Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;814681860,9;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;776821308,06;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;133997606,02;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;108433595,7;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;54881550,18;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.2.50.0.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.2.50.0.0;48509110,26;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;6372439,92;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;21938752,05;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;21938752,05;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;13416927,55;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;8521824,5;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;31292666,12;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.51.0.0 - Impostos sobre Serviços;siconfi-cor_RO1.1.1.4.51.0.0;31292666,12;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;siconfi-cor_RO1.1.1.4.51.1.0;31292666,12;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;320627,35;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;25564010,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;100977,3;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.2.1.50.0.0 - Taxa de Fiscalização de Vigilância Sanitária;siconfi-cor_RO1.1.2.1.50.0.0;100977,3;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;25463033,02;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços em Geral;siconfi-cor_RO1.1.2.2.01.0.0;25463033,02;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;8518460,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;78522,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.1.9.00.0.0 - Outras Contribuições Sociais;siconfi-cor_RO1.2.1.9.00.0.0;78522,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.1.9.50.0.0 - Outras Contribuições Previdenciárias;siconfi-cor_RO1.2.1.9.50.0.0;78522,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.1.9.50.9.0 - Demais Contribuições Previdenciárias;siconfi-cor_RO1.2.1.9.50.9.0;78522,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.4.0.00.0.0;8439938,18;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;43647934,49;2025
