Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;626365603,56;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;593627535,71;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;92993437,04;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;73996199,45;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;44201669,3;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.2.50.0.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.2.50.0.0;38165498,17;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;6036171,13;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;6277096,07;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;6277096,07;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;6277096,07;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;23229402,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.51.0.0 - Impostos sobre Serviços;siconfi-cor_RO1.1.1.4.51.0.0;23229402,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;siconfi-cor_RO1.1.1.4.51.1.0;23229402,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;288031,8;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;18997237,59;2022
