Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;705995095,51;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;616011933,19;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;107544001,47;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;84760839,93;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;46853269,83;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.2.50.0.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.2.50.0.0;41461800,78;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;5391469,05;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;12818061,34;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;12818061,34;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;12818061,34;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;24695961,9;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.51.0.0 - Impostos sobre Serviços;siconfi-cor_RO1.1.1.4.51.0.0;24695961,9;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.4.51.1.0 - Imposto sobre Serviços de Qualquer Natureza - ISSQN;siconfi-cor_RO1.1.1.4.51.1.0;24695961,9;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;393546,86;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;22783161,54;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;83286,62;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.1.50.0.0 - Taxa de Fiscalização de Vigilância Sanitária;siconfi-cor_RO1.1.2.1.50.0.0;83286,62;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;22699874,92;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços em Geral;siconfi-cor_RO1.1.2.2.01.0.0;22699874,92;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;7833335,64;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;82771,05;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.2.1.5.00.0.0 - Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social;siconfi-cor_RO1.2.1.5.00.0.0;82771,05;2023
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Receitas Brutas Realizadas;1.2.1.5.01.0.0 - Contribuição do Servidor Civil;siconfi-cor_RO1.2.1.5.01.0.0;82771,05;2023
