Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;740555010,14;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;669227137,58;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;311751070,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;311751070,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;3518196,62;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;589996,49;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;228063611,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;56658006,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;946163,64;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;55694094,57;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;17748,67;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;15769403,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;3038411,79;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;27589,71;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;4085854,03;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;11458472,48;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;11458472,48;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;11458472,48;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;346017594,38;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos;siconfi-cor_DO3.3.50.00.00.00;73691006,54;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio;siconfi-cor_DO3.3.71.00.00.00;1613569,66;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;270713018,18;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.08.00 - Outros Benefícios Assistenciais do servidor e do militar;siconfi-cor_DO3.3.90.08.00.00;90249,6;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;215700,36;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;32852956,54;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;10971479,37;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.33.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;124544,49;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;7984769,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;152774215,15;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.40.00 - Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica;siconfi-cor_DO3.3.90.40.00.00;3057397,82;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.41.00 - Contribuições;siconfi-cor_DO3.3.90.41.00.00;990108,23;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.45.00 - Subvenções Econômicas;siconfi-cor_DO3.3.90.45.00.00;848616,64;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.46.00 - Auxílio-Alimentação;siconfi-cor_DO3.3.90.46.00.00;17333093,73;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.47.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;5852722,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.48.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;6593421,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.49.00 - Auxílio-Transporte;siconfi-cor_DO3.3.90.49.00.00;217307,33;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.67.00 - Depósitos Compulsórios;siconfi-cor_DO3.3.90.67.00.00;26500,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;21299714,92;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;4542992,62;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;3.3.90.93.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;4937226,9;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.0.00.00.00 - Despesas de Capital;siconfi-cor_DO4.0.00.00.00.00;71327872,56;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.00.00.00 - Investimentos;siconfi-cor_DO4.4.00.00.00.00;48070443,83;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.00.00 - Aplicações Diretas;siconfi-cor_DO4.4.90.00.00.00;48070443,83;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO4.4.90.39.00.00;193634,39;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.51.00 - Obras e Instalações;siconfi-cor_DO4.4.90.51.00.00;31222781,82;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.51.91 - Obras em Andamento;siconfi-cor_DO4.4.90.51.91.00;28771159,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.51.99 - Outras Obras e Instalações;siconfi-cor_DO4.4.90.51.99.00;2451622,1;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.52.00 - Equipamentos e Material Permanente;siconfi-cor_DO4.4.90.52.00.00;8619727,67;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.61.00 - Aquisição de Imóveis;siconfi-cor_DO4.4.90.61.00.00;3000000,0;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO4.4.90.92.00.00;3537585,93;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.4.90.93.00 - Indenizações e Restituições;siconfi-cor_DO4.4.90.93.00.00;1496714,02;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.6.00.00.00 - Amortização da Dívida;siconfi-cor_DO4.6.00.00.00.00;23257428,73;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.6.90.00.00 - Aplicações Diretas;siconfi-cor_DO4.6.90.00.00.00;23257428,73;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Empenhadas;4.6.90.71.00 - Principal da Dívida Contratual Resgatado;siconfi-cor_DO4.6.90.71.00.00;23257428,73;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;705982854,46;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;639170093,21;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;311533668,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;311533668,72;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;3518196,62;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;589996,49;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;228063611,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;56440604,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;946163,64;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;55476692,57;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;17748,67;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;15769403,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;3038411,79;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;27589,71;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;4085854,03;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;11458029,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;11458029,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;11458029,32;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;316178395,17;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos;siconfi-cor_DO3.3.50.00.00.00;73685313,54;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio;siconfi-cor_DO3.3.71.00.00.00;1613569,66;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;240879511,97;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.08.00 - Outros Benefícios Assistenciais do servidor e do militar;siconfi-cor_DO3.3.90.08.00.00;90249,6;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;215700,36;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;30052021,66;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;9775221,52;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.33.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;124544,49;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;7984769,88;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;127963582,94;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.40.00 - Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica;siconfi-cor_DO3.3.90.40.00.00;2421834,76;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.41.00 - Contribuições;siconfi-cor_DO3.3.90.41.00.00;990108,23;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.45.00 - Subvenções Econômicas;siconfi-cor_DO3.3.90.45.00.00;848616,64;2025
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;187253;Despesas Liquidadas;3.3.90.46.00 - Auxílio-Alimentação;siconfi-cor_DO3.3.90.46.00.00;17204840,13;2025
