Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;536503238,51;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;15410685,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;15410685,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;3992615,29;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;3422470,2;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;570145,09;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;69824755,78;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;519215,28;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;41411739,98;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;24537460,04;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;11532,67;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;966319,74;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;2378488,07;2022
