Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;412442814,47;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;23933385,28;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;23933385,28;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;2951447,5;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;1960951,76;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;990495,74;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;51646945,37;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;68000,0;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;23106643,78;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;28034342,25;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;540,0;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;410366,06;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;27053,28;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;10908057,62;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;10823108,42;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;84949,2;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;11496413,84;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;7469422,55;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;4026991,29;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;180195,6;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;FU09 - Demais Subfunções;siconfi-cor_TotalDespesas;180195,6;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;74958748,62;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;33447915,44;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;3693350,69;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;1872791,58;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;466478,25;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;35478212,66;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;153798795,53;2021
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;196500;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;107939499,32;2021
