Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;ano
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;536503238,51;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;457643655,43;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;201116109,78;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;201116109,78;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias, Reserva Remunerada e Reformas;siconfi-cor_DO3.1.90.01.00.00;2928421,54;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.03.00 - Pensões;siconfi-cor_DO3.1.90.03.00.00;427740,06;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;145885977,24;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;35751707,1;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;654396,72;2022
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;198661;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;35008842,31;2022
