Nro Emenda;Data;Aplicação;Âmbito;Tipo;Destinação;Parlamentar;Descrição;Finalidade;Fundamento Legal;Orçado;Empenhado;Receita Recebida;Bancos Recebido
30/04/2026;8040063-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;VALTER COSTA FERNANDES;valor destinado para custeio e manutencao das atividades da entidade de modo a formentar o atendimento realizado no municipio na area da educacao, entidade beneficiaria ASSOCIACAO BENEFICENTE ANJOS DE OURO CNPJ numero 22.227.741/0001-42.;valor destinado para custeio e manutencao das atividades da entidade de modo a formentar o atendimento realizado no municipio na area da educacao, entidade beneficiaria ASSOCIACAO BENEFICENTE ANJOS DE OURO CNPJ numero 22.227.741/0001-42;3642/2025;24176.47;0.0;0.0;0.0;0
30/04/2026;8040065-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;VALTER COSTA FERNANDES;Valor destinado para formacao e capacitacao continuada dos agentes publicos.;Valor destinado para formacao e capacitacao continuada dos agentes publicos.;3642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040067-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DIEGO PINHEIRO DE OLIVEIRA;Valor destinado para custeio e manutencao das atividades estatutarias da entidade para atendimento na area da saude de pessoas com TEA  Transtorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;Valor destinado para custeio e manutencao das atividades estatutarias da entidade para atendimento na area da saude de pessoas com TEA  Tra nstorno do Espectro Autista, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n° 03.601.048/0001-43.;3642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040069-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;SELMA FRANCISCA DOS SANTOS;valor destinado para custeio e manutencoes ou compras de materiais, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;valor destinado para custeio e manutencoes ou compras de materiais, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040072-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;SELMA FRANCISCA DOS SANTOS;valor destinado para adequacao, manutencao ou compras de materiais, entidade beneficiaria AMAFV - Associacao das Maes de Alunos e Portadores de TEA - Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;valor destinado para adequacao, manutencao ou compras de materiais, entidade beneficiaria AMAFV - Associacao das Maes de Alunos e Portadores de TEA - Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;3.642/2025;20000.0;0.0;0.0;0.0;0
30/04/2026;8040080-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;SELMA FRANCISCA DOS SANTOS;valor destinado para compra de materiais ou equipamentos musicais para o Centro de Juventude Vila Margarida, entidade beneficiaria Servico Promocional Nossa Senhora Aparecida CNPJ n° 58.477.555/0001-09.;valor destinado para compra de materiais ou equipamentos musicais para o Centro de Juventude Vila Margarida, entidade beneficiaria Servico Promocional Nossa Senhora Aparecida CNPJ n° 58.477.555/0001-09.;3642/2025;11588.24;0.0;0.0;0.0;0
30/04/2026;8040081-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;SELMA FRANCISCA DOS SANTOS;valor destinado para compra de equipamentos musicais para o Projeto Aconchego 60+, entidade beneficiaria Centro de Apoio Acao e Transformacao OIAEU CNPJ n° 04.407.319/0001-07;valor destinado para compra de equipamentos musicais para o Projeto Aconchego 60+, entidade beneficiaria Centro de Apoio Acao e Transformacao OIAEU CNPJ n° 04.407.319/0001-07;3642/2025;11588.24;0.0;0.0;0.0;0
30/04/2026;8040082-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);INVESTIMENTO;SELMA FRANCISCA DOS SANTOS;Valor destinado para compra de um (01) veiculo Van ou utilitario, para transporte de pacientes em tratamento ou para fins de utilizacao do centro de fisioterapico para o Centro de Fisioterapia Dr. Alfredo Walter Regner.;Valor destinado para compra de um (01) veiculo Van ou utilitario, para transporte de pacientes em tratamento ou para fins de utilizacao do centro de fisioterapico para o Centro de Fisioterapia Dr. Alfredo Walter Regner.;3642/2025;154176.47;0.0;0.0;0.0;0
30/04/2026;8040084-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;ELIEL DE SOUZA;valor a ser destinado para realizacao do Dia do Adolescente, conforme calendario de eventos do Municipio.;valor a ser destinado para realizacao do Dia do Adolescente, conforme calendario de eventos do Municipio.;3642/2025;50000.0;0.0;0.0;0.0;0
30/04/2026;8040086-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;ELIEL DE SOUZA;Valor destinado para manutencao e conservacao da edificacao da OSC, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n 03.601.048/0001-43.;Valor destinado para manutencao e conservacao da edificacao da OSC, entidade beneficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n 03.601.048/0001-43.;3642/2025;50000.0;0.0;0.0;0.0;0
