ano_exercicio;ds_municipio;codigo_municipio_ibge;ds_orgao;mes_referencia;mes_ref_extenso;tp_despesa;nr_empenho;tp_identificador_despesa;nr_identificador_despesa;ds_despesa;dt_emissao_despesa;vl_despesa;ds_funcao_governo;ds_subfuncao_governo;ds_modalidade_lic;ds_elemento;historico_despesa;contrato
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 188-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2025;650000.0;SEGURANÇA PÚBLICA;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903999 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;GERENCIAMENTO E IMPLANTACAO DE SOLUCOES TECNOLOGICAS INTEGRADAS VIG:19/02/2025;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 185-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2025;187983.24;ADMINISTRAÇÃO;ADMINISTRAÇÃO GERAL;PREGÃO PRESENCIAL;33909299 - OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;SERVICO DE APOIO TECNICO TECNOLOGICO MAN UT.PREV CORRETIVA DE REDE VIG:24/08/2025;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 357-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2025;100000.0;TRANSPORTE;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICOS DE IMPLANTACAO DE SINALIZACAO E MANUTENCAO DO SISTEMA VIARIO, REQ 1036;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 356-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2025;353406.59;TRANSPORTE;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICOS DE IMPLANTACAO DE SINALIZACAO E MANUTENCAO DO SISTEMA VIARIO, REQ 1036;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;1;Janeiro;Empenhado; 358-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;02/01/2025;2289000.0;TRANSPORTE;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICOS DE IMPLANTACAO DE SINALIZACAO E MANUTENCAO DO SISTEMA VIARIO, REQ 1036;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;2;Fevereiro;Empenhado; 1346-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;20/02/2025;1341712.5;SEGURANÇA PÚBLICA;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903977 - VIGILÂNCIA OSTENSIVA MONITORADA;SERVICOS DE GERENCIAMENTO E IMPLANTACAO DE SOL TECN INTEGRADAS REQ 284/2025;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;2;Fevereiro;Empenhado; 1345-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;20/02/2025;623068.6;SEGURANÇA PÚBLICA;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903977 - VIGILÂNCIA OSTENSIVA MONITORADA;SERVICOS DE GERENCIAMENTO E IMPLANTACAO DE SOL TECS INTEGRADAS, CONF REQ 284/25;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;2;Fevereiro;Empenhado; 1347-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;20/02/2025;1433414.7;SEGURANÇA PÚBLICA;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903977 - VIGILÂNCIA OSTENSIVA MONITORADA;SERVICOS DE GERENCIAMENTO E IMPLANTACAO DE SOL TECN INTEGRADAS REQ COMPRAS 284/2;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;4;Abril;Empenhado; 3129-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;24/04/2025;107420.38;ADMINISTRAÇÃO;ADMINISTRAÇÃO GERAL;OUTROS/NÃO APLICÁVEL;33909301 - INDENIZAÇÕES;TERMO DE AJUSTE DE CONTAS CONFORME P.A 2 102/2025 INDENIZACAO;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;8;Agosto;Empenhado; 5457-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;25/08/2025;579042.66;ADMINISTRAÇÃO;ADMINISTRAÇÃO GERAL;PREGÃO PRESENCIAL;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICO DE APOIO TECNICO TECNOLOGICO MAN UTENCAO PREV E COR DA REDE CONF COM 1382;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;8;Agosto;Empenhado; 5465-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;26/08/2025;1410025.08;TRANSPORTE;ADMINISTRAÇÃO GERAL;PREGÃO PRESENCIAL;33903999 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVICO DE MONITORAMENTO E FISCALIZACAO TRAF DE VEIC (RADAR) CONF REQ 1396/25;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;9;Setembro;Empenhado; 5648-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;11/09/2025;148824.25;SEGURANÇA PÚBLICA;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903977 - VIGILÂNCIA OSTENSIVA MONITORADA;SERVICOS DE GERENCIAMENTO E IMPLANTACAO DE SOL TECN INTEGRADAS - REEMP 1346/2025;
2025;Ferraz de Vasconcelos;3515707;PREFEITURA MUNICIPAL DE FERRAZ DE VASCONCELOS;11;Novembro;Empenhado; 6733-2025;CNPJ - PESSOA JURÍDICA;02679522000197;DATACITY SERVICOS LTDA;19/11/2025;367557.35;TRANSPORTE;ADMINISTRAÇÃO GERAL;PREGÃO ELETRÔNICO;33903905 - SERVIÇOS TÉCNICOS PROFISSIONAIS;SERVICOS DE IMPLANTACAO DE SINALIZACAO E MANUT SIST VIARIO CONF REQ COMPRAS 1954/;
